Year,Month,H2
2017,8,7.575
2017,8,7.622
2017,8,7.425
2017,9,7.086
2017,9,6.739
2017,9,7.109
2017,9,7.246
2017,9,7.41
2017,9,7.449
2017,9,7.387
2018,6,7.299
2018,6,7.173
2018,6,7.072
2018,6,7.204
2018,6,7.037
2018,6,7.383
2018,6,7.392
2018,7,7.366
2018,7,7.146
2018,7,7.06
2018,7,7.214
2018,7,7.156
2018,7,7.343
2018,7,7.28
2018,7,7.331
2018,8,7.38
2018,8,7.368
2018,8,7.388
2018,8,7.408
2018,8,7.57
2018,8,7.529
2018,8,7.509
2018,8,7.477
2018,9,7.627
2018,9,7.568
2018,9,7.509
2018,9,7.394
2018,9,7.509
2018,9,7.34
2018,9,7.37
2019,6,6.796
2019,6,6.769
2019,6,6.729
2019,6,6.745
2019,6,6.941
2019,6,6.944
2019,6,6.81
2019,6,6.747
2019,7,6.853
2019,7,6.968
2019,7,6.819
2019,7,6.966
2019,7,7.338
2019,7,7.286
2019,7,7.153
2019,8,6.967
2019,8,7.108
2019,8,7.189
2019,8,7.14
2019,8,7.454
2019,8,7.336
2019,8,7.58
2019,8,7.452
2019,9,7.286
2019,9,7.418
2019,9,7.408
2019,9,7.232
2019,9,7.296
2019,9,7.24
2019,9,7.326
2019,9,7.357
2020,6,6.656
2020,6,6.585
2020,6,6.449
2020,6,6.514
2020,6,6.47
2020,6,6.625
2020,6,6.811
2020,7,6.671
2020,7,6.636
2020,7,6.581
2020,7,6.775
2020,7,6.74
2020,7,6.795
2020,7,6.746
2020,7,6.769
2020,8,6.776
2020,8,6.531
2020,8,6.597
2020,8,6.988
2020,8,6.949
2020,8,6.834
2020,8,6.995
2020,8,6.984
2020,9,6.934
2020,9,6.946
2020,9,6.868
2020,9,6.662
2020,9,6.444
2020,9,6.644
2020,9,6.674
