"age","year","number"
"19","2000",730.868377358948
"20","2000",20500.7960142822
"1","2001",640970.740135749
"2","2001",6825381.15910912
"3","2001",886352.018507397
"4","2001",347978.235750447
"5","2001",344030.830639439
"6","2001",212035.982740695
"7","2001",222200.451846075
"8","2001",139482.517595071
"9","2001",37446.4141378924
"10","2001",39578.9953312711
"11","2001",44098.3549959261
"12","2001",7211.8565044915
"13","2001",14962.3053765455
"14","2001",22294.7851640356
"15","2001",2840.47532598954
"16","2001",1521.0806778263
"17","2001",24562.8924983599
"18","2001",806.413090553907
"19","2001",369.893173775516
"20","2001",13109.07971487
"1","2002",710501.865651622
"2","2002",509032.352479745
"3","2002",5455354.84102533
"4","2002",664919.218390561
"5","2002",236594.541246489
"6","2002",229273.172127289
"7","2002",138923.497008936
"8","2002",145583.138335407
"9","2002",91387.3148578509
"10","2002",24534.4527624012
"11","2002",25931.695028597
"12","2002",28892.7266456825
"13","2002",4725.12406894566
"14","2002",9803.12756051087
"15","2002",14607.2825942874
"16","2002",1861.04622599196
"17","2002",996.594277372134
"18","2002",16093.3200036138
"19","2002",528.352429269221
"20","2002",8831.26545586965
"1","2003",163604.498600923
"2","2003",564441.63698629
"3","2003",409940.699263582
"4","2003",4273719.24434221
"5","2003",498616.547071407
"6","2003",166240.762139248
"7","2003",164743.719156663
"8","2003",99823.1644947771
"9","2003",104608.434704076
"10","2003",65666.148349292
"11","2003",17629.1755291257
"12","2003",18633.1607985762
"13","2003",20760.8033684112
"14","2003",3395.22721028432
"15","2003",7044.0151313871
"16","2003",10496.0298626621
"17","2003",1337.2505555171
"18","2003",716.100563450923
"19","2003",11563.8186813314
"20","2003",6725.33225748251
"1","2004",1005933.55651555
"2","2004",129973.513206876
"3","2004",454729.417895868
"4","2004",326051.821044579
"5","2004",3237283.11256383
"6","2004",366454.1998959
"7","2004",119238.216892227
"8","2004",118164.444530037
"9","2004",71599.3838438168
"10","2004",75031.6773424854
"11","2004",47099.8468642213
"12","2004",12644.7414480227
"13","2004",13364.8621439027
"14","2004",14890.9397613683
"15","2004",2435.26818145339
"16","2004",5052.40587940114
"17","2004",7528.4056038138
"18","2004",959.159292378834
"19","2004",513.63187465349
"20","2004",13118.1168707004
"1","2005",412796.466811948
"2","2005",798860.611162823
"3","2005",103885.137370549
"4","2005",337616.322327654
"5","2005",230467.434922761
"6","2005",2244309.53246703
"7","2005",247656.978042113
"8","2005",80583.5394192443
"9","2005",79857.8628724874
"10","2005",48388.2761815096
"11","2005",50707.887843418
"12","2005",31831.0057408345
"13","2005",8545.56573790322
"14","2005",9032.23751139602
"15","2005",10063.5908731711
