"Predator_ID","month","year","latitude","longitude","predator_age","prey_name","prey_wt","prey_length","prey_age","source"
"10366",11,1991,38.97,-124.03,6,"other",4.32,85,NA,"CCTD"
"10688",10,1992,47.63,-125.11,6,"other",27.573,165,NA,"CCTD"
"10902",10,1992,47.23,-125,6,"other",0.742,39,NA,"CCTD"
"10902",10,1992,47.23,-125,6,"other",0.836,49,NA,"CCTD"
"11204",11,1992,46.73,-124.86,4,"other",4.98,175,NA,"CCTD"
"11225",11,1992,46.81,-125.07,6,"other",9.26,71,NA,"CCTD"
"11225",11,1992,46.81,-125.07,6,"other",9.26,62,NA,"CCTD"
"11411",11,1992,45.61,-124.68,6,"other",5.592,66,NA,"CCTD"
"11477",11,1992,45.53,-124.74,6,"other",0.484,92.5,NA,"CCTD"
"11479",11,1992,45.53,-124.74,6,"other",35.149,195,NA,"CCTD"
"11492",5,1995,36.71,-122.11,1,"other",8.801,101.8,NA,"CCTD"
"11504",5,1995,36.98,-122.37,1,"other",9.493,109.4,NA,"CCTD"
"11737",7,1995,35.29,-121.03,1,"other",0.139,19,NA,"CCTD"
"11737",7,1995,35.29,-121.03,1,"other",0.139,17,NA,"CCTD"
"11738",7,1995,35.29,-121.03,1,"Pacific Hake",0.069,32.4,1,"CCTD"
"11757",7,1995,35.8,-121.52,1,"Pacific Hake",0.879,59.7,1,"CCTD"
"11761",7,1995,35.8,-121.52,1,"Pacific Hake",2.859,58.9,1,"CCTD"
"11761",7,1995,35.8,-121.52,1,"Pacific Hake",2.859,50,1,"CCTD"
"11765",7,1995,35.8,-121.52,1,"Pacific Hake",0.81,60,1,"CCTD"
"11769",7,1995,35.8,-121.52,2,"Pacific Hake",0.653,51.6,1,"CCTD"
"11770",7,1995,35.8,-121.52,2,"Pacific Hake",5.23,50.8,1,"CCTD"
"11770",7,1995,35.8,-121.52,2,"Pacific Hake",5.23,63.3,1,"CCTD"
"11770",7,1995,35.8,-121.52,2,"Pacific Hake",5.23,66.4,1,"CCTD"
"11770",7,1995,35.8,-121.52,2,"Pacific Hake",5.23,59.7,1,"CCTD"
"11771",7,1995,35.8,-121.52,2,"Pacific Hake",1.646,51.75,1,"CCTD"
"11771",7,1995,35.8,-121.52,2,"Pacific Hake",1.646,54,1,"CCTD"
"11772",7,1995,35.8,-121.52,2,"Pacific Hake",1.007,56.8,1,"CCTD"
"11775",7,1995,35.8,-121.52,2,"Pacific Hake",2.392,56.8,1,"CCTD"
"11775",7,1995,35.8,-121.52,2,"Pacific Hake",2.392,53,1,"CCTD"
"11776",7,1995,35.8,-121.52,2,"Pacific Hake",1.46,60,1,"CCTD"
"11776",7,1995,35.8,-121.52,2,"Pacific Hake",1.46,55,1,"CCTD"
"11777",7,1995,35.8,-121.52,2,"Pacific Hake",0.887,59.7,1,"CCTD"
"11780",7,1995,35.8,-121.52,2,"Pacific Hake",1.77,66.45,1,"CCTD"
"11781",7,1995,35.8,-121.52,2,"Pacific Hake",0.902,57.3,1,"CCTD"
"11786",7,1995,35.8,-121.52,9,"Pacific Hake",63.264,217.5,1,"CCTD"
"11790",7,1995,35.78,-121.46,1,"Pacific Hake",0.786,55,1,"CCTD"
"11791",7,1995,35.78,-121.46,1,"Pacific Hake",0.148,21.4,1,"CCTD"
"11808",7,1995,35.79,-121.47,1,"Pacific Hake",0.703,55,1,"CCTD"
"11854",7,1995,37.8,-123.53,2,"other",3.34,49.7,NA,"CCTD"
"11854",7,1995,37.8,-123.53,2,"other",3.34,53.2,NA,"CCTD"
"11855",7,1995,37.8,-123.53,2,"other",8.68,75.1,NA,"CCTD"
"11855",7,1995,37.8,-123.53,2,"other",8.68,77.48,NA,"CCTD"
"11864",7,1995,37.8,-123.53,3,"other",2.133,75,NA,"CCTD"
"11865",7,1995,37.8,-123.53,3,"other",3.63,69.3,NA,"CCTD"
"11866",7,1995,37.8,-123.53,3,"other",1.81,56.8,NA,"CCTD"
